Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2012М10,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",509
2012М10,Површина ( во m2 ),127 Други нестанбени згради,6262
2012М11,Површина ( во m2 ),11 Станови во станбени објекти (згради),51958
2012М11,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8309
2012М11,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,43649
2012М11,Површина ( во m2 ),12 Нестанбени згради,27380
2012М11,Површина ( во m2 ),122 Деловни згради,8131
2012М11,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,1287
2012М11,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,62
2012М11,Површина ( во m2 ),125 Индустриски згради и складишта,10773
2012М11,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5200
2012М11,Површина ( во m2 ),127 Други нестанбени згради,1927
2012М12,Површина ( во m2 ),11 Станови во станбени објекти (згради),49018
2012М12,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8815
2012М12,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,39688
2012М12,Површина ( во m2 ),113 Станови на заедници,515
2012М12,Површина ( во m2 ),12 Нестанбени згради,45078
2012М12,Површина ( во m2 ),122 Деловни згради,2866
2012М12,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,7500
2012М12,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,66
2012М12,Површина ( во m2 ),125 Индустриски згради и складишта,33640
2012М12,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",80
2012М12,Површина ( во m2 ),127 Други нестанбени згради,926
2013М01,Површина ( во m2 ),11 Станови во станбени објекти (згради),40007
2013М01,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,6519
2013М01,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,32336
2013М01,Површина ( во m2 ),113 Станови на заедници,1152
2013М01,Површина ( во m2 ),12 Нестанбени згради,16194
2013М01,Површина ( во m2 ),122 Деловни згради,1664
2013М01,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4093
2013М01,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,130
2013М01,Површина ( во m2 ),125 Индустриски згради и складишта,7210
2013М01,Површина ( во m2 ),127 Други нестанбени згради,3097
2013М02,Површина ( во m2 ),11 Станови во станбени објекти (згради),48100
2013М02,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,9573
2013М02,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,38527
2013М02,Површина ( во m2 ),12 Нестанбени згради,58416
2013М02,Површина ( во m2 ),121 Хотели и слични згради,1150
2013М02,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4012
2013М02,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,38
2013М02,Површина ( во m2 ),125 Индустриски згради и складишта,10698
2013М02,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1235
2013М02,Површина ( во m2 ),127 Други нестанбени згради,41283
2013М03,Површина ( во m2 ),11 Станови во станбени објекти (згради),45007
2013М03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,12433
2013М03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,32574
